[2026-09-13T23:00:36.617Z] GET https://ghostcli.dev/docs → pending (?ms, ?B)
[2026-09-13T23:00:39.464Z] GET https://ghostcli.dev/_next/static/media/36966cca54120369-s.p.woff2 → pending (?ms, ?B)
[2026-09-13T23:00:39.465Z] GET https://ghostcli.dev/_next/static/media/bb3ef058b751a6ad-s.p.woff2 → pending (?ms, ?B)
[2026-09-13T23:00:39.465Z] GET https://ghostcli.dev/_next/static/media/e4af272ccee01ff0-s.p.woff2 → pending (?ms, ?B)
[2026-09-13T23:00:39.465Z] GET https://ghostcli.dev/_next/static/css/2e6bc4c23520840a.css → 200 (831ms, ?B)
[2026-09-13T23:00:39.465Z] GET https://ghostcli.dev/_next/static/css/2653aa2f76bb4346.css → 200 (836ms, 1000B)
[2026-09-13T23:00:39.465Z] GET https://ghostcli.dev/_next/static/chunks/webpack-305e71d2aa4ec4a4.js → 200 (835ms, 1750B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/4bd1b696-04d4e6726f46d1d5.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/3794-454e5f12cc0bbeed.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/main-app-6d90e1a58eb59c27.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/870fdd6f-b906531a1bdaee3a.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/8500-01a63dafd809e317.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/1610-1b371c1088cf0712.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/1016-4314bae36c5e95cd.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/7645-93c1c33264293479.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/2262-03922b690370e574.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/9302-4ef7b525bf1bc0f7.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/3722-3389ea4dcb1dffdd.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/app/docs/page-3ac5baece70762eb.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/7720-8d454a4ae87c046c.js → pending (?ms, ?B)
[2026-09-13T23:00:39.467Z] GET https://ghostcli.dev/_next/static/chunks/app/layout-70b2a0a74dd6155f.js → pending (?ms, ?B)
[2026-09-13T23:00:39.501Z] GET https://ghostcli.dev/videos/banner-claude-desktop-video-en.jpg → pending (?ms, ?B)
[2026-09-13T23:00:39.507Z] GET https://ghostcli.dev/videos/banner-claude-code-video-en.jpg → pending (?ms, ?B)
[2026-09-13T23:00:40.786Z] GET https://ghostcli.dev/logos/anthropic.webp → 200 (264ms, 962B)
[2026-09-13T23:00:40.786Z] GET https://ghostcli.dev/logos/openai.png → 200 (267ms, 10135B)
[2026-09-13T23:00:40.786Z] GET https://ghostcli.dev/logos/gemini.svg → 200 (274ms, 952B)
[2026-09-13T23:00:40.786Z] GET https://ghostcli.dev/logos/zai.svg → pending (?ms, ?B)
[2026-09-13T23:00:40.786Z] GET https://ghostcli.dev/logos/claude-code.png → 200 (423ms, 1801B)
[2026-09-13T23:00:40.787Z] GET https://ghostcli.dev/logos/codex.png → 200 (433ms, ?B)
[2026-09-13T23:00:41.826Z] GET https://ghostcli.dev/utmify/pixel.js → 200 (189ms, 9971B)
[2026-09-13T23:00:41.826Z] GET https://connect.facebook.net/en_US/fbevents.js → 200 (82ms, 113052B)
[2026-09-13T23:00:41.827Z] GET https://ghostcli.dev/api/uptime → 200 (170ms, 4283B)
[2026-09-13T23:00:41.827Z] GET https://ghostcli.dev/api/me → 200 (168ms, 23B)
[2026-09-13T23:00:41.839Z] GET https://ghostcli.dev/?_rsc=c-Hr4oP2d3Bq2q0W → 200 (158ms, 174B)
[2026-09-13T23:00:41.839Z] GET https://ghostcli.dev/login?_rsc=c-Hr4oP2d3Bq2q0W → 200 (173ms, 181B)
[2026-09-13T23:00:41.839Z] GET https://ghostcli.dev/register?_rsc=c-Hr4oP2d3Bq2q0W → 200 (259ms, 182B)
[2026-09-13T23:00:41.839Z] GET https://ghostcli.dev/dashboard?_rsc=c-Hr4oP2d3Bq2q0W → 200 (290ms, 183B)
[2026-09-13T23:00:41.992Z] GET https://connect.facebook.net/signals/config/1098244692781887?v=2.9.398&r=stable&domain=ghostcli.dev&hme=457e068698591ac437afb4b2e5fbe0266b08712615b8792436a91385ebda0da3&ex_m=115%2C227%2C166%2C26%2C80%2C81%2C158%2C76%2C75%2C11%2C176%2C100%2C20%2C150%2C138%2C45%2C83%2C88%2C146%2C171%2C178%2C31%2C17%2C30%2C18%2C32%2C33%2C34%2C36%2C54%2C159%2C85%2C123%2C22%2C24%2C50%2C46%2C48%2C47%2C93%2C102%2C106%2C121%2C157%2C160%2C52%2C122%2C28%2C25%2C130%2C77%2C42%2C162%2C161%2C163%2C154%2C152%2C29%2C41%2C65%2C120%2C173%2C78%2C21%2C125%2C91%2C74%2C23%2C95%2C96%2C127%2C94%2C148%2C147%2C151%2C107%2C172%2C175%2C40%2C55%2C124%2C53%2C8%2C4%2C5%2C7%2C6%2C3%2C101%2C112%2C180%2C179%2C194%2C241%2C82%2C255%2C254%2C253%2C14%2C27%2C39%2C61%2C114%2C67%2C10%2C71%2C108%2C109%2C110%2C116%2C141%2C37%2C35%2C143%2C144%2C145%2C140%2C139%2C167%2C84%2C170%2C168%2C169%2C56%2C66%2C134%2C19%2C174%2C51%2C305%2C306%2C307%2C304%2C320%2C344%2C234%2C223%2C68%2C224%2C222%2C347%2C338%2C58%2C235%2C118%2C142%2C90%2C132%2C60%2C131%2C137%2C136%2C64%2C72%2C70%2C164%2C86%2C87%2C126%2C43%2C38%2C59%2C62%2C111%2C177%2C1%2C135%2C16%2C133%2C12%2C2%2C63%2C103%2C15%2C73%2C69%2C129%2C99%2C98%2C182%2C183%2C104%2C105%2C9%2C113%2C181%2C57%2C155%2C97%2C89%2C79%2C128%2C117%2C49%2C156%2C0%2C92%2C149%2C153%2C165%2C44%2C119%2C13%2C184 → 200 (279ms, 138450B)
[2026-09-13T23:00:42.003Z] GET https://ghostcli.dev/?_rsc=oZXU6IXzxzMOqO3V → 200 (156ms, ?B)
[2026-09-13T23:00:42.013Z] GET https://ghostcli.dev/login?next=/docs%23inicio&_rsc=oZXU6IXzxzMOqO3V → 200 (145ms, ?B)
[2026-09-13T23:00:42.020Z] GET https://api.ipify.org/?format=json → 200 (160ms, 157B)
[2026-09-13T23:00:42.020Z] GET https://api6.ipify.org/?format=json → pending (?ms, ?B)
[2026-09-13T23:00:42.099Z] GET https://ghostcli.dev/login?_rsc=oZXU6IXzxzMOqO3V → 200 (241ms, ?B)
[2026-09-13T23:00:42.130Z] GET https://ghostcli.dev/register?_rsc=oZXU6IXzxzMOqO3V → 200 (210ms, ?B)
[2026-09-13T23:00:42.159Z] GET https://ghostcli.dev/dashboard?_rsc=oZXU6IXzxzMOqO3V → 200 (181ms, ?B)
[2026-09-13T23:00:42.185Z] POST https://tracking.utmify.com.br/tracking/v1/events → pending (?ms, ?B)
[2026-09-13T23:00:44.701Z] PUT https://tracking.utmify.com.br/tracking/v1/lead → 200 (91ms, 304B)
[2026-09-13T23:00:47.196Z] PUT https://tracking.utmify.com.br/tracking/v1/lead → 200 (23ms, 337B)
[2026-09-13T23:00:50.197Z] POST https://tracking.utmify.com.br/tracking/v1/events → pending (?ms, ?B)
[2026-09-13T23:01:11.833Z] GET https://ghostcli.dev/api/uptime → 200 (159ms, 4284B)
[2026-09-13T23:01:41.833Z] GET https://ghostcli.dev/api/uptime → 200 (164ms, 4284B)
[2026-09-13T23:02:11.835Z] GET https://ghostcli.dev/api/uptime → 200 (185ms, 4285B)
[2026-09-13T23:06:41.833Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:07:11.835Z] GET https://ghostcli.dev/api/uptime → 200 (189ms, 4283B)
[2026-09-13T23:07:41.829Z] GET https://ghostcli.dev/api/uptime → 200 (165ms, 4283B)
[2026-09-13T23:08:11.836Z] GET https://ghostcli.dev/api/uptime → 200 (183ms, 4284B)
[2026-09-13T23:08:41.825Z] GET https://ghostcli.dev/api/uptime → pending (?ms, ?B)
[2026-09-13T23:09:11.827Z] GET https://ghostcli.dev/api/uptime → 200 (168ms, 4284B)
[2026-09-13T23:09:41.831Z] GET https://ghostcli.dev/api/uptime → 200 (156ms, 4284B)
[2026-09-13T23:10:11.825Z] GET https://ghostcli.dev/api/uptime → 200 (157ms, 4283B)
